id,titre,artiste,album,annee,genre,duree_sec,ecoutes
1,Blinding Lights,The Weeknd,Album 1 - The Weeknd,1977,RNB,231,263962
2,Save Your Tears,The Weeknd,Album 2 - The Weeknd,2002,RNB,315,451387
3,Starboy,The Weeknd,Album 3 - The Weeknd,1976,RNB,207,469636
4,The Hills,The Weeknd,Album 4 - The Weeknd,2008,RNB,309,292297
5,After Hours,The Weeknd,Album 5 - The Weeknd,1996,RNB,350,300690
6,Die For You,The Weeknd,Album 6 - The Weeknd,2005,RNB,337,407647
7,In Your Eyes,The Weeknd,Album 7 - The Weeknd,2019,RNB,275,394253
8,Earned It,The Weeknd,Album 8 - The Weeknd,2019,RNB,300,231760
9,Call Out My Name,The Weeknd,Album 9 - The Weeknd,1985,RNB,150,322519
10,Out of Time,The Weeknd,Album 10 - The Weeknd,1975,RNB,178,151096
11,Billie Jean,Michael Jackson,Album 1 - Michael Jackson,2022,POP,175,236248
12,Beat It,Michael Jackson,Album 2 - Michael Jackson,1970,POP,358,467621
13,Thriller,Michael Jackson,Album 3 - Michael Jackson,2013,POP,275,356695
14,Smooth Criminal,Michael Jackson,Album 4 - Michael Jackson,1990,POP,203,208756
15,Man in the Mirror,Michael Jackson,Album 5 - Michael Jackson,1986,POP,239,487729
16,Black or White,Michael Jackson,Album 6 - Michael Jackson,1992,POP,356,197812
17,Bad,Michael Jackson,Album 7 - Michael Jackson,2017,POP,281,334847
18,Earth Song,Michael Jackson,Album 8 - Michael Jackson,1974,POP,335,178964
19,Human Nature,Michael Jackson,Album 9 - Michael Jackson,1975,POP,292,282600
20,Rock with You,Michael Jackson,Album 10 - Michael Jackson,1988,POP,223,240334
21,Smells Like Teen Spirit,Nirvana,Album 1 - Nirvana,1979,ROCK,315,369585
22,Come as You Are,Nirvana,Album 2 - Nirvana,2015,ROCK,297,162504
23,Heart-Shaped Box,Nirvana,Album 3 - Nirvana,1971,ROCK,331,193880
24,Lithium,Nirvana,Album 4 - Nirvana,1993,ROCK,268,221863
25,In Bloom,Nirvana,Album 5 - Nirvana,1975,ROCK,252,467624
26,All Apologies,Nirvana,Album 6 - Nirvana,2007,ROCK,291,261834
27,About a Girl,Nirvana,Album 7 - Nirvana,2025,ROCK,179,223554
28,Polly,Nirvana,Album 8 - Nirvana,2002,ROCK,355,393792
29,Drain You,Nirvana,Album 9 - Nirvana,2025,ROCK,303,459479
30,Something in the Way,Nirvana,Album 10 - Nirvana,2001,ROCK,251,481143
31,Get Lucky,Daft Punk,Album 1 - Daft Punk,2003,ELECTRONIC,216,443249
32,One More Time,Daft Punk,Album 2 - Daft Punk,1996,ELECTRONIC,294,486112
33,Harder Better Faster Stronger,Daft Punk,Album 3 - Daft Punk,2000,ELECTRONIC,281,272074
34,Around the World,Daft Punk,Album 4 - Daft Punk,2021,ELECTRONIC,156,302236
35,Digital Love,Daft Punk,Album 5 - Daft Punk,1984,ELECTRONIC,346,68132
36,Instant Crush,Daft Punk,Album 6 - Daft Punk,2022,ELECTRONIC,162,369946
37,Lose Yourself to Dance,Daft Punk,Album 7 - Daft Punk,2003,ELECTRONIC,321,54279
38,Aerodynamic,Daft Punk,Album 8 - Daft Punk,2015,ELECTRONIC,309,225634
39,Technologic,Daft Punk,Album 9 - Daft Punk,2000,ELECTRONIC,186,253266
40,Something About Us,Daft Punk,Album 10 - Daft Punk,1984,ELECTRONIC,181,329055
41,Lose Yourself,Eminem,Album 1 - Eminem,2014,HIPHOP,266,354029
42,Stan,Eminem,Album 2 - Eminem,2000,HIPHOP,332,487807
43,Without Me,Eminem,Album 3 - Eminem,2004,HIPHOP,214,293994
44,The Real Slim Shady,Eminem,Album 4 - Eminem,1995,HIPHOP,321,161785
45,Not Afraid,Eminem,Album 5 - Eminem,2005,HIPHOP,354,339642
46,Mockingbird,Eminem,Album 6 - Eminem,2002,HIPHOP,328,251577
47,Rap God,Eminem,Album 7 - Eminem,2021,HIPHOP,252,227551
48,Love the Way You Lie,Eminem,Album 8 - Eminem,1982,HIPHOP,225,436624
49,My Name Is,Eminem,Album 9 - Eminem,1987,HIPHOP,152,17858
50,Cleanin Out My Closet,Eminem,Album 10 - Eminem,1979,HIPHOP,317,462943
51,Hotel California,Eagles,Album 1 - Eagles,2008,COUNTRY,267,421790
52,Take It Easy,Eagles,Album 2 - Eagles,2003,COUNTRY,275,189210
53,Desperado,Eagles,Album 3 - Eagles,1982,COUNTRY,216,363646
54,One of These Nights,Eagles,Album 4 - Eagles,2001,COUNTRY,269,268551
55,New Kid in Town,Eagles,Album 5 - Eagles,2019,COUNTRY,277,424103
56,Life in the Fast Lane,Eagles,Album 6 - Eagles,1997,COUNTRY,292,348573
57,Tequila Sunrise,Eagles,Album 7 - Eagles,1972,COUNTRY,224,166519
58,Already Gone,Eagles,Album 8 - Eagles,1999,COUNTRY,357,52076
59,Lyin Eyes,Eagles,Album 9 - Eagles,1998,COUNTRY,326,376162
60,Peaceful Easy Feeling,Eagles,Album 10 - Eagles,2020,COUNTRY,281,136202
61,Shape of You,Ed Sheeran,Album 1 - Ed Sheeran,1998,POP,196,223729
62,Perfect,Ed Sheeran,Album 2 - Ed Sheeran,2023,POP,336,251710
63,Thinking Out Loud,Ed Sheeran,Album 3 - Ed Sheeran,1974,POP,316,140204
64,Photograph,Ed Sheeran,Album 4 - Ed Sheeran,2001,POP,244,51179
65,Castle on the Hill,Ed Sheeran,Album 5 - Ed Sheeran,1982,POP,341,449624
66,Bad Habits,Ed Sheeran,Album 6 - Ed Sheeran,1996,POP,187,236112
67,Shivers,Ed Sheeran,Album 7 - Ed Sheeran,1970,POP,173,612
68,The A Team,Ed Sheeran,Album 8 - Ed Sheeran,1998,POP,298,287070
69,Galway Girl,Ed Sheeran,Album 9 - Ed Sheeran,2023,POP,171,320385
70,Happier,Ed Sheeran,Album 10 - Ed Sheeran,2020,POP,200,130438
71,Enter Sandman,Metallica,Album 1 - Metallica,1977,METAL,308,23914
72,Nothing Else Matters,Metallica,Album 2 - Metallica,2018,METAL,289,141290
